zipcode,med_income,pop
12193,76626,1905
12194,50000,160
12196,95204,3117
12197,51102,2263
12198,91470,7933
12202,29344,9522
12203,57581,34927
12204,53315,8075
12205,69578,26860
12206,29625,17058
12207,21679,2467
12208,56323,21043
12209,52958,10546
12210,38267,10018
12211,90305,13120
12302,78231,27826
12303,66892,30124
12304,57064,21520
12305,36905,6513
12306,68484,25553
12307,22887,7913
12308,56535,14146
12309,104257,29370
12401,47370,34379
12404,72194,3624
12405,50000,566
12406,44938,790
12409,67820,941
12410,60611,436
12411,68944,303
12412,60232,594
12413,47016,3094
12414,52556,10474
12416,48556,312
12418,50269,527
12419,64173,702
12421,45138,227
12422,53829,239
12423,47748,1030
12424,44897,216
12427,57554,840
12428,47602,7773
12430,45422,1169
12431,53104,1304
12433,82847,443
12435,48052,276
12439,48422,366
12440,66372,1788
12442,42036,876
12443,74816,3713
12444,45698,551
12446,63381,5803
12448,75000,64
12449,49329,3320
12450,22442,165
12451,56977,1547
12453,63327,303
12454,47756,242
12455,44818,1915
12456,51987,575
12457,60667,756
12458,49623,2332
12460,53902,320
12461,68748,1532
12463,64320,1479
12464,48861,965
12465,62691,452
12466,65560,2408
12468,47610,1468
12469,54315,760
12470,60046,556
12472,66521,1752
12473,60579,838
12474,42582,1912
12477,61476,18856
12480,51116,659
12481,60798,1367
12482,58284,557
12484,69568,2635
12485,55365,1005
12486,73621,1213
12487,64276,3468
12491,67950,1642
12492,48698,257
12494,62853,681
12495,73450,326
12496,54003,1434
12498,73165,4451
12501,69636,2577
12502,69581,1109
12503,70725,840
12507,100000,216
12508,74370,19815
12513,62662,605
12514,85010,2887
12515,63191,1406
12516,60712,1742
12517,66171,479
12518,91345,6020
12520,90908,2882
12521,69398,1621
12522,61750,5139
12523,71809,2111
12524,80782,15924
12525,86073,3546
12526,70561,3482
12528,69692,14418
12529,73444,3035
12531,87218,3306
12533,109882,25644
12534,50744,18319
12538,75060,12555
12540,103560,7614
12542,71742,5676
12543,62731,3011
12545,85517,5317
12546,66336,3165
12547,71305,2714
12548,70850,1148
12549,90541,10615
12550,60707,54262
12553,79226,25241
12561,70026,18201
12563,85042,8461
12564,84741,7323
12566,87234,11278
12567,73395,2698
12569,78958,9645
12570,104408,7081
12571,74617,10768
12572,76017,9446
12575,107480,2544
12577,111139,1986
12578,84184,2081
12580,82754,3871
12581,81697,2264
12582,104441,6613
12583,60556,2771
12585,84958,851
12586,85794,12793
12589,88261,17389
12590,83191,34508
12592,62287,1262
12594,67915,3974
12601,45768,44312
12603,77841,40518
12604,82454,1980
12701,40281,11356
12719,54377,1105
12720,56808,151
12721,69896,6386
12723,63390,2112
12725,64093,209
12726,55520,1062
12729,62542,2226
12732,52921,802
12733,47279,1276
12734,57437,1076
12736,52678,43
12737,62304,1839
12738,75000,222
12740,58407,1674
12741,50450,298
12742,56804,222
12743,51211,249
12745,60317,109
12746,51020,1116
12747,47022,2527
12748,61785,1636
12750,75000,52
12751,52934,763
12752,54142,241
12754,45957,7212
12758,65821,4426
12759,48711,931
12760,62170,705
12762,64447,531
12763,57495,907
12764,55884,1870
12765,63518,781
12766,62647,504
12768,59097,939
12770,63942,345
12771,54002,14281
12775,101094,2482
12776,59476,2227
12777,84965,689
12779,42670,2368
12780,48106,2293
12783,61453,1574
12786,55805,910
12787,87500,56
12788,48974,1934
12789,52769,2689
12790,57542,5646
12791,73073,214
12792,52226,434
12801,47183,13862
12803,65706,8135
12804,70291,26129
12808,80101,268
12809,62931,3460
12810,56143,574
12812,47562,193
12814,69257,1474
12815,75358,868
12816,54944,4193
12817,56308,2324
12819,45057,379
12821,53542,1004
12822,56723,5845
12823,64240,205
12824,66042,1016
12827,66388,3807
12828,61127,9946
12831,86603,17557
12832,49091,6832
12833,74742,4684
12834,59209,6474
12835,59358,2724
12836,73182,499
12837,52745,799
12838,66849,513
12839,51478,13303
12842,43176,1082
12843,50785,1032
12844,64051,262
12845,71652,4977
12846,64805,3236
12847,68217,627
12849,53087,387
12850,76914,2700
12851,52305,290
12852,48738,364
12853,45231,1791
12855,47213,186
12857,52451,697
12858,33882,36
12859,75000,2083
12860,60160,515
12861,66210,605
12863,64170,778
12865,57321,3309
12866,83577,38604
12870,52219,1432
12871,72590,4774
12873,52750,803
12874,75000,113
12878,55456,663
12883,60933,4747
12885,60876,4792
12886,50000,130
12887,48996,6575
12901,43392,32652
12903,43084,1552
12910,44950,2130
12911,57242,71
12912,54575,1947
12913,62290,1131
12914,43116,988
12916,49582,2189
12917,58570,1434
12918,58777,2305
12919,49363,2924
12920,49293,2710
12921,58077,2356
12922,41978,62
12923,39313,659
12924,50000,151
12926,57100,2194
12928,48412,1891
12930,49603,667
12932,52646,1264
12934,45741,1170
12935,50077,1515
12936,54354,541
12937,42115,1513
12941,58371,1375
12942,54702,629
12943,55169,492
